Generation,Best Fitness,Average Fitness
1,0.0,-2260766.4963717475
2,0.0,-2447079.510349685
3,0.0,-2476177.7672074093
4,-189615.0191106392,-2921633.1376268757
5,-352097.09521006426,-2953748.3977418207
6,0.0,-2517509.4389197235
7,0.0,-1933794.4260553427
8,0.0,-1890717.3113520218
9,0.0,-2012438.6234287287
10,0.0,-2696722.3161624717
11,0.0,-2684854.4103398146
12,0.0,-2402684.7772881817
13,0.0,-2133860.257874933
14,0.0,-2244219.2913929927
15,0.0,-2403277.4259931087
16,0.0,-2441170.1951237987
17,-79972.1290094625,-2965761.7954074116
18,0.0,-2703416.9678927893
19,0.0,-2799211.709980296
20,0.0,-2639117.637622091
21,0.0,-3043439.8088052873
22,-293047.04279624217,-2699741.2069365084
23,0.0,-2932136.5070647434
24,0.0,-2441740.2073742794
25,0.0,-2269604.013436849
26,0.0,-2110360.0122186644
27,0.0,-2230978.6626634127
28,0.0,-2416270.420186328
29,0.0,-2275589.977390188
30,0.0,-2504285.9981362056
